timestamp,station_id,cycliste_id,velo_id,velo_performance,action,position,position_station
2018-01-01 01:47:00,10.0,30.0,velo_65,0.85,prendre,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-01 05:41:00,10.0,23.0,velo_64,0.9130802636339004,prendre,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-01 16:57:00,10.0,30.0,velo_59,0.9432746191535112,deposer,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-02 01:47:00,10.0,30.0,velo_32,0.85,prendre,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-02 16:57:00,10.0,30.0,velo_52,0.85,deposer,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-03 01:47:00,10.0,30.0,velo_29,0.85,prendre,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-03 16:57:00,10.0,30.0,velo_29,0.85,deposer,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-04 01:47:00,10.0,30.0,velo_34,0.85,prendre,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-04 16:43:00,10.0,23.0,velo_23,0.85,deposer,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-04 16:57:00,10.0,30.0,velo_47,0.9605569316734418,deposer,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-05 01:47:00,10.0,30.0,velo_35,0.85,prendre,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-05 05:41:00,10.0,23.0,velo_167,0.8633189284038295,prendre,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-05 16:57:00,10.0,30.0,velo_90,0.910768271097936,deposer,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-05 18:30:00,10.0,43.0,velo_23,0.85,prendre,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-06 19:52:00,10.0,27.0,velo_165,0.85,deposer,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-08 16:14:00,10.0,23.0,velo_97,0.45,deposer,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-08 16:57:00,10.0,30.0,velo_19,0.85,deposer,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-09 01:47:00,10.0,30.0,velo_97,0.45,prendre,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-09 11:35:00,10.0,43.0,velo_146,0.85,deposer,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-09 16:57:00,10.0,30.0,velo_113,0.85,deposer,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-09 18:30:00,10.0,43.0,velo_146,0.85,prendre,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-10 01:47:00,10.0,30.0,velo_113,0.85,prendre,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-10 16:57:00,10.0,30.0,velo_188,0.85,deposer,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
2018-01-11 02:03:00,10.0,30.0,velo_171,0.85,deposer,(lon:0.00 lat:1.00),(lon:1.00 lat:4.00)
